Statistical profiling result from info.log, (4276 ticks, 4 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%            LazyCompile: ~Module.require node:internal/modules/cjs/loader:1005:36
      1    2.1%        LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:490:28
      1  100.0%          LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:856:35
      1  100.0%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:753:24
      1    2.1%        LazyCompile: ~Module node:internal/modules/cjs/loader:168:16
      1  100.0%          LazyCompile: ~Module._load node:internal/modules/cjs/loader:753:24
      1  100.0%            LazyCompile: ~Module.require node:internal/modules/cjs/loader:1005:36
      1    2.1%        LazyCompile: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/mongoose/lib/helpers/pluralize.js:86:34
      1  100.0%          T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
      1  100.0%            LazyCompile: ~pluralize /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/mongoose/lib/helpers/pluralize.js:82:19
      1    2.1%        LazyCompile: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/debug/src/node.js:124:55
      1  100.0%          T __ZNK4node9inspector8protocol11BinaryValue8asBinaryEPNS1_6BinaryE
      1  100.0%            Eval: ~<anonymous> /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/debug/src/node.js:1:1
      1    2.1%        LazyCompile: *Module._load node:internal/modules/cjs/loader:753:24
      1  100.0%          LazyCompile: ~Module.require node:internal/modules/cjs/loader:1005:36
      1  100.0%            LazyCompile: ~require node:internal/modules/cjs/helpers:92:31
      1    2.1%        Eval: ~<anonymous> node:zlib:1:1
      1  100.0%          LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:246:25
      1    2.1%        Eval: ~<anonymous> node:constants:1:1
      1  100.0%          LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:246:25
     19    3.4%      LazyCompile: *next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
     10   52.6%        LazyCompile: ~handle /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:136:31
      9   90.0%          LazyCompile: ~router /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:46:18
      9  100.0%            LazyCompile: *next /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/router/index.js:176:16
      1   10.0%          LazyCompile: ~handle /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/application.js:158:29
      1  100.0%            LazyCompile: ~app /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/express/lib/express.js:38:21
      2   10.5%        LazyCompile: ~jsonParser /Users/marcos/coder-house-js/entregables/27-desafio-coder-house/node_modules/body-parser/lib/types/json.js:98:30
